antikoro	N	antikorový	A
antikorozní	A	antikoro	N
kůň	N	koník	N
piky	N	pikový	A
mléko	N	mlíko	N
napnout	V	napětí	N
odsud	D	odsaď	D
vysvědčit	V	vysvědčení	N
utvářet	V	utvářecí	A
drobit	V	podrobný	A
pohánět	V	pohonný	A
klidný	A	poklidný	A
tuk	N	tučný	A
louka	N	luční	A
luk	N	lukař	N
suk	N	vysukovat	V
vysoukat	V	vysukovat	V
převolit	V	převolovat	V
vůl	N	převolovat	V
dítě	N	děcko	N
koza	N	kozle	N
koza	N	kůzle	N
rozum	N	rozoumek	N
koupit	V	kupitel	N
bezpečný	A	bezpečno	D
bílý	A	bílo	D
blízký	A	blízko	D
častý	A	často	D
červený	A	červeno	D
daleký	A	daleko	D
dávný	A	dávno	D
hluboký	A	hluboko	D
hořký	A	hořko	D
lehký	A	lehko	D
maličký	A	maličko	D
měkký	A	měkko	D
mělký	A	mělko	D
mnohý	A	mnoho	D
mokrý	A	mokro	D
ošklivý	A	ošklivo	D
pilný	A	pilno	D
prázdný	A	prázdno	D
proměnlivý	A	proměnlivo	D
rychlý	A	rychlo	D
řídký	A	řídko	D
sladký	A	sladko	D
slaný	A	slano	D
snadný	A	snadno	D
studený	A	studeno	D
suchý	A	sucho	D
šedý	A	šedo	D
široký	A	široko	D
temný	A	temno	D
tenký	A	tenko	D
teplý	A	teplo	D
teskný	A	teskno	D
úzký	A	úzko	D
veselý	A	veselo	D
vlhký	A	vlhko	D
volný	A	volno	D
vyprahlý	A	vyprahlo	D
záhadný	A	záhadno	D
zelený	A	zeleno	D
živý	A	živo	D
hajný	N	hájenka	N
jinak	D	jinačí	A
Maine	N	mainský	A
nemocný	A	nemocný	N
polní	A	polník	N
polypropylén	N	polypropylénový	A
příliš	D	přílišný	A
recepce	N	recepční	N
vrata	N	vrátný	N
vyjednavač	N	vyjednavačský	A
Zborov	N	Zborovský	N
žíla	N	žílový	A
