airbag_N	>	air + bag
antidepresivum_N	>	anti + deprese
aquapark_N	>	aqua + park
bestseller_N	>	best + sell
bodyguard_N	>	body + guard
bookmaker_N	>	book + maker
černovlasý_A	>	černý + vlasy
cestopis_N	>	cesta + psát
činorodý_A	>	činný + rod
cizokrajný_A	>	cizí + kraj
cizorodý_A	>	cizí + rod
comeback_N	>	come + back
ctihodný_A	>	čest + hodný
cukrovar_N	>	cukr + vařit
díkůvzdání_N	>	dík + vzdání
domorodý_A	>	dům + rod
drahocenný_A	>	drahý + cena
drahokam_N	>	drahý + kámen
facelift_N	>	face + lift
firewall_N	>	fire + wall
firmware_N	>	firm + ware
flashdisk_N	>	flash + disk
grandslam_N	>	grand + slam
hitparáda_N	>	hit + paráda
jaksepatří_D	>	jak + patřit
kdovíjak_D	>	kdo + vědět + jak
koloběh_N	>	kolo + běh
koloběžka_N	>	kolo + běžet
kozoroh_N	>	koza + roh
krkolomný_A	>	krk + lomit
krupobití_N	>	kroupa + bití
lodivod_N	>	loď + vést
masopust_N	>	maso + půst
masožravý_A	>	maso + žravý
modrobílý_A	>	modrý + bílý
nanebevzetí_N	>	nebe + vzít
natožpak_D	>	natož + pak
názvosloví_N	>	název + slovit
netbook_N	>	net + book
nocleh_N	>	noc + ležet
nonstop_D	>	non + stop
očividný_A	>	oči + vidět
opencard_N	>	open + card
photoshop_N	>	photo + shop
prvořadý_A	>	prvý + řada
prvorozený_A	>	prvý + rozený
psovod_N	>	pes + vodit
půldruhý_A	>	půl + druhý
půllitr_N	>	půl + litr
rádoby_D	>	rád + by
šedomodrý_A	>	šedý + modrý
šedozelený_A	>	šedý + zelený
showbyznys_N	>	show + byznys
showroom_N	>	show + room
siločára_N	>	síla + čára
škodolibý_A	>	škoda + libý
slunovrat_N	>	slunce + vracet
směrodatný_A	>	směr + dát
smrtonosný_A	>	smrt + nosit
tamtéž_D	>	tam + týž
touchpad_N	>	touch + pad
trolejbus_N	>	trolej + bus
underground_N	>	under + ground
upgrade_N	>	up + grade
voděodolný_A	>	voda + odolný
vojevůdce_N	>	voj + vůdce
zčistajasna_D	>	čistý + jasný
